Starling ID,Headwords,Gloss,review_tier,chosen_abbr,chosen_field,llm_second,second_field,v1_choice,v1_field,v2_choice,v2_field,agrees_v1,agrees_v2
PDR001,*ac-,mould (n.),1-all-three-agree,PA_MD,"Physical Acts & Materials — to Mold, Form",PA_MA,"Physical Acts & Materials — to Do, Make",PA_MD,"Physical Acts & Materials — to Mold, Form",PA_MD,"Physical Acts & Materials — to Mold, Form",YES,YES
PDR002,*ac-,thorn; to cut,3-llm-alone,PA_CU,Physical Acts & Materials — to Cut,PW_SR,"Physical World — Rock, Stone",WH_SP,Warfare & Hunting — Spear,WH_SW,Warfare & Hunting — Sword,,
PDR003,*aḍái,to hide; to press down,2-llm-plus-one,SR_HC,"Spatial Relations — to Hide, Conceal",SR_SH,"Spatial Relations — to Shut, Close",BP_SH,"Body Parts & Functions — Skin, Hide",SR_HC,"Spatial Relations — to Hide, Conceal",,YES
PDR004,*aḍái,green plants (leaves),1-all-three-agree,AV_LE,Agriculture & Vegetation — Leaf,AV_PN,"Agriculture & Vegetation — Plant, Herb",AV_LE,Agriculture & Vegetation — Leaf,AV_LE,Agriculture & Vegetation — Leaf,YES,YES
PDR005,*aḍái ~ *aḍí,"to compact, gather together; lump, clot",1-all-three-agree,SR_CG,"Spatial Relations — to Gather, Collect",PA_SO,"Physical Acts & Materials — to Strew, Spread Out",SR_CG,"Spatial Relations — to Gather, Collect",SR_CG,"Spatial Relations — to Gather, Collect",YES,YES
PDR006,*aḍái[j]āḷ- (?),"mark, token",3-llm-alone,SR_SN,Spatial Relations — Sign (n),LM_WR,Language & Music — Word,CA_BU,Clothing & Adornment — Button,WH_SP,Warfare & Hunting — Spear,,
PDR007,*aḍái[-kāj/-kat-],areca nut (betel nut),3-llm-alone,FD_VE,Food & Drink — Vegetables,AV_PN,"Agriculture & Vegetation — Plant, Herb",FD_NT,Food & Drink — Nut,FD_NT,Food & Drink — Nut,,
PDR008,*adáḷ-,"to start, be alarmed",2-llm-plus-one,EM_FF,"Emotion — Fear, Fright",EM_AG,Emotion — Anger,TI_BB,Time — to Begin; Beginning,EM_FF,"Emotion — Fear, Fright",,YES
PDR009,*aḍál- ~ *aḍáv-,a k. of marine fish,1-all-three-agree,AN_FI,Animals — Fish (n),AN_AN,Animals — Animal,AN_FI,Animals — Fish (n),AN_FI,Animals — Fish (n),YES,YES
PDR010,*aḌ[Ḍ]- (?),thirst; hunger,1-all-three-agree,FD_TH,Food & Drink — Thirst (n),FD_HU,Food & Drink — Hunger (n),FD_TH,Food & Drink — Thirst (n),FD_TH,Food & Drink — Thirst (n),YES,YES
PDR011,*ádda- [?],mirror,1-all-three-agree,CA_MR,Clothing & Adornment — Mirror,PA_GL,Physical Acts & Materials — Glass,CA_MR,Clothing & Adornment — Mirror,CA_MR,Clothing & Adornment — Mirror,YES,YES
PDR012,*áḍḍa- ~ *aḍái-,to hinder; obstacle,2-llm-plus-one,SO_HP,"Social Relations — to Hinder, Prevent",SR_SH,"Spatial Relations — to Shut, Close",MO_PU,Motion & Transportation — to Pursue,SO_HP,"Social Relations — to Hinder, Prevent",,YES
PDR013,*áḍḍi-,"necklace, ornament",1-all-three-agree,CA_NC,Clothing & Adornment — Necklace,CA_AD,Clothing & Adornment — Adornment (personal),CA_NC,Clothing & Adornment — Necklace,CA_NC,Clothing & Adornment — Necklace,YES,YES
PDR014,*aḍí,"foot; lower, below",1-all-three-agree,BP_FT,Body Parts & Functions — Foot,SR_BO,Spatial Relations — Bottom,BP_FT,Body Parts & Functions — Foot,BP_FT,Body Parts & Functions — Foot,YES,YES
PDR015,*aḍí-,"to flap, throb",3-llm-alone,MO_SH,Motion & Transportation — to Shake,BP_BB,Body Parts & Functions — to Breathe; Breath,BP_YG,"Body Parts & Functions — to Gape, Yawn",PA_SO,"Physical Acts & Materials — to Strew, Spread Out",,
PDR016,*adír-,"to shake, tremble; to be troubled",1-all-three-agree,MO_SH,Motion & Transportation — to Shake,EM_FF,"Emotion — Fear, Fright",MO_SH,Motion & Transportation — to Shake,MO_SH,Motion & Transportation — to Shake,YES,YES
PDR017,*aḍú-,"fit, appropriate",3-llm-alone,EM_GD,Emotion — Good,SR_EQ,"Spatial Relations — Equal, Alike",CA_TA,"Clothing & Adornment — Tailor, Seamstress",CA_TR,Clothing & Adornment — Trousers,,
PDR018,*aḍ-[úg-],"to ask, request",1-all-three-agree,LM_AR,"Language & Music — to Ask, Request",LM_AQ,"Language & Music — to Question, Inquire",LM_AR,"Language & Music — to Ask, Request",LM_AR,"Language & Music — to Ask, Request",YES,YES
PDR019,*adúm-,"to squeeze, press",1-all-three-agree,PA_PR,Physical Acts & Materials — to Press,PA_CU,Physical Acts & Materials — to Cut,PA_PR,Physical Acts & Materials — to Press,PA_PR,Physical Acts & Materials — to Press,YES,YES
PDR020,*aḍ-[úŋ]-,"to be piled up, arranged",2-llm-plus-one,PA_SO,"Physical Acts & Materials — to Strew, Spread Out",,,PT_SP,Possession & Trade — to Spoil,PA_SO,"Physical Acts & Materials — to Strew, Spread Out",,YES
PDR021,*aḍV́-,to strike,1-all-three-agree,PA_SH,"Physical Acts & Materials — to Hit, Strike, Beat",WH_FI,Warfare & Hunting — to Fight,PA_SH,"Physical Acts & Materials — to Hit, Strike, Beat",PA_SH,"Physical Acts & Materials — to Hit, Strike, Beat",YES,YES
PDR022,*aḍV́-,to be near; to happen,1-all-three-agree,SR_NE,Spatial Relations — Near (adj),MO_AP,Motion & Transportation — to Approach,SR_NE,Spatial Relations — Near (adj),SR_NE,Spatial Relations — Near (adj),YES,YES
PDR023,*aḍV́-,bad,1-all-three-agree,EM_BD,Emotion — Bad,MT_FS,"Mind & Thought — Stupid, Foolish",EM_BD,Emotion — Bad,EM_BD,Emotion — Bad,YES,YES
PDR024,*agá-,1 to appear 2 inside,3-llm-alone,SR_PL,Spatial Relations — Place,BP_FC,Body Parts & Functions — Front of Chest,QN_ON,Quantity & Number — One,DF_RO,Dwellings & Furniture — Room,,
PDR025,*agá-,"to press, hold firmly",1-all-three-agree,PA_PR,Physical Acts & Materials — to Press,PT_HO,Possession & Trade — to Hold,PA_PR,Physical Acts & Materials — to Press,PA_PR,Physical Acts & Materials — to Press,YES,YES
PDR026,*agáḍ-,viciousness; fault,3-llm-alone,EM_BD,Emotion — Bad,EM_FA,"Emotion — Fault, Guilt",EM_FA,"Emotion — Fault, Guilt",EM_RF,"Emotion — Rage, Fury",,
PDR027,*agái,"to be broken, torn",3-llm-alone,PA_BK,Physical Acts & Materials — to Break,PA_TE,Physical Acts & Materials — to Tear,EM_TR,Emotion — Tear (n),PA_TE,Physical Acts & Materials — to Tear,,
